City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
307,Chernyshevskiy,91,RU,1637586788,100,63.0128,112.4714,-28.89,2.19
308,Sakakah,0,SA,1637586789,37,29.9697,40.2064,68.59,2.55
309,Yei,96,SS,1637586789,34,4.095,30.6779,90.16,4.99
310,Bakel,12,SN,1637586789,11,14.905,-12.4568,100.67,15.95
311,Camopi,54,GF,1637586790,72,3.1655,-52.3158,82.9,4.41
312,Boa Vista,40,BR,1637586790,74,2.8197,-60.6733,80.58,6.91
313,Chumphon,98,TH,1637586790,91,10.3333,98.8333,72.99,1.88
314,Buala,7,SB,1637586791,77,-8.145,159.5921,81.25,7.61
315,Grindavik,90,IS,1637586791,100,63.8424,-22.4338,46.87,34.52
316,Nianzishan,55,CN,1637586791,63,47.5167,122.8833,15.17,16.15
317,Haimen,100,CN,1637586792,61,23.1935,116.6142,64.02,12.1
318,Hohhot,6,CN,1637586792,35,40.8106,111.6522,17.11,1.23
319,Azovskaya,2,RU,1637586792,77,44.7908,38.6264,60.42,12.12
320,Niono,51,ML,1637586793,11,14.2526,-5.993,97.9,16.35
321,Caramay,60,PH,1637586793,84,10.1815,119.236,80.74,2.71
322,Maţāy,0,EG,1637586793,40,28.419,30.7792,73.76,4.65
323,Bilibino,9,RU,1637586794,96,68.0546,166.4372,-20.29,3.76
324,Scarborough,19,GB,1637586794,80,54.2797,-0.4044,47.93,1.01
325,Key Largo,0,US,1637586794,82,25.0865,-80.4473,75.0,3.6
326,Socorro,75,US,1637586795,43,31.6546,-106.3033,51.87,4.61
327,Kitami,100,JP,1637586795,86,43.8031,143.8908,47.12,23.17
328,Walvis Bay,0,NA,1637586795,53,-22.9575,14.5053,64.09,19.86
329,Rawson,7,AR,1637586796,41,-43.3002,-65.1023,63.19,27.2
330,Khandyga,34,RU,1637586796,100,62.6667,135.6,-35.09,1.45
331,Along,32,IN,1637586796,77,28.1667,94.7667,61.0,1.25
332,Kalachinsk,100,RU,1637586797,87,55.0529,74.5751,27.05,23.82
333,Colquechaca,96,BO,1637586797,48,-18.6667,-66.0167,41.0,2.37
334,Calama,57,CL,1637586513,9,-22.4667,-68.9333,64.89,10.36
335,Kushmurun,100,KZ,1637586797,95,52.4503,64.6311,31.6,19.17
336,Moerai,100,PF,1637586788,80,-22.4333,-151.3333,76.26,19.57
337,Bārān,34,IN,1637586798,43,25.1,76.5167,74.62,6.2
338,Siilinjärvi,0,FI,1637586798,86,63.0833,27.6667,21.22,5.75
339,Rundu,89,NA,1637586798,18,-17.9333,19.7667,93.83,10.49
340,Batemans Bay,99,AU,1637586799,89,-35.7167,150.1833,55.2,3.56
341,Nekā,0,IR,1637586799,73,36.6508,53.299,57.24,2.8
342,Tarata,71,BO,1637586799,53,-17.6167,-66.0167,66.07,2.55
343,Fare,21,PF,1637586800,82,-16.7,-151.0167,78.35,5.08
344,Béré,85,TD,1637586800,12,9.3202,16.1552,98.06,5.68
345,Santa Isabel Rio Negro,94,BR,1637586800,73,-0.4139,-65.0192,79.93,1.86
346,Udachny,80,RU,1637586801,100,66.4167,112.4,-29.72,4.23
347,Verkh-Usugli,7,RU,1637586801,93,52.7,115.1667,-4.52,4.05
348,Igarka,100,RU,1637586801,85,67.4667,86.5833,3.42,18.12
349,Kutum,0,SD,1637586802,14,14.2,24.6667,80.42,12.39
350,Manokwari,100,ID,1637586802,82,-0.8667,134.0833,79.72,4.79
